ID	pop
PT102PL1	PT102
PT102PL2	PT102
PT103PL1	PT103
PT103PL2	PT103
PT111PL1	PT111
PT111PL2	PT111
PT154PL1	PT154
PT154PL2	PT154
PT186PL1	PT186
PT186PL2	PT186
PT191PL1	PT191
PT191PL2	PT191
PT192PL1	PT192
PT192PL2	PT192
PT244PL1	PT244
PT244PL2	PT244
PT246PL1	PT246
PT246PL2	PT246
PT251PL1	PT251
PT251PL2	PT251
PT25PL1	PT25
PT25PL2	PT25
PT262PL1	PT262
PT262PL2	PT262
PT263P1	PT263P1
PT263P2	PT263P2
PT264PL1	PT264
PT264PL2	PT264
PT26P1	PT26P1
PT26PL2	PT26
PT270PL1	PT270
PT270PL2	PT270
PT27PL1	PT27
PT27PL2	PT27
PT28PL1	PT28
PT28PL2	PT28
PT33PL1	PT33
PT33PL2	PT33
PT34PL1	PT34
PT34PL2	PT34
PT36PL1	PT36
PT36PL2	PT36
PT70PL1	PT70
PT70PL2	PT70
