ID,location
44117,Ross Sea
44122,Ross Sea
44130,Ross Sea
44255,Ross Sea
09_0713,West Antarctic Peninsula
44074_5,Ross Sea
44113_3,Ross Sea
44113_4,Ross Sea
44118_3,Ross Sea
44256_1,Ross Sea
AD_01_6,East Casey Station
AND145,Elephant Is
AND271,Elephant Is
CT905,Adelie Land
CT909,Adelie Land
CT917,Adelie Land
CT933,Adelie Land
CT939,Adelie Land
JR179_141,Amundsen Sea
JS_26,South Weddell Sea
JS_40,South Weddell Sea
JS_44,South Weddell Sea
JS096,Prydz Bay
JS097,Prydz Bay
JS10,South Weddell Sea
JS5,South Weddell Sea
LS14,East Weddell Sea
LS149,Robert Is
LS15,East Weddell Sea
LS152,Robert Is
LS154,Robert Is
LS161,Robert Is
LS3,East Weddell Sea
NIWA87970,Ross Sea
Oct-13,East Weddell Sea
Oct-02,East Weddell Sea
PT108,Elephant Is
PT117AP,Deception Is
PT119AP41,Deception Is
PT151AP,Robert Is
PT154,Elephant Is
PT156AP,Robert Is
PT16WS,East Weddell Sea
PT192,Elephant Is
PT214SG,Shag Rocks
PT24,KingGeorge Is
PT2414AP,Livingston Is
PT24SG,Shag Rocks
PT25,KingGeorge Is
PT250,South Orkney Is
PT255,South Orkney Is
PT267AP,Elephant Is
PT272AP,Elephant Is
PT305SG,South Georgia
PT328SG,South Georgia
PT33,KingGeorge Is
PT354SG,South Georgia
PT355SG,South Georgia
PT356SG,South Georgia
PT357SG,South Georgia
PT36,KingGeorge Is
PT366SG,South Georgia
PT367SG,South Georgia
PT376SG,Shag Rocks
PT377SG,Shag Rocks
PT378WS,East Weddell Sea
PT381SG,Shag Rocks
PT382SG,Shag Rocks
PT386SG,Shag Rocks
PT401SG,South Georgia
PT415SG,South Georgia
PT420SG,South Georgia
PT421SG,South Georgia
PT42SG,Shag Rocks
PT432SG,South Georgia
PT440SG,South Georgia
PT445SG,South Georgia
PT446SG,South Georgia
PT449SG,South Georgia
PT49WS,East Weddell Sea
PT508SG,South Georgia
PT511SG,Shag Rocks
PT60WS,East Weddell Sea
PT61WS,East Weddell Sea
PT73SG,South Georgia
PT84AP,Bransfield Strait
WS112,East Weddell Sea
JR179_403,Amundsen Sea
JR179_674,Amundsen Sea
JR179_797,Amundsen Sea
JS091,Prydz Bay
JS099,Prydz Bay
JS_18,South Weddell Sea
JS_19,South Weddell Sea
Oct-03,East Weddell Sea
Oct-04,East Weddell Sea
