INDV	location
44117	RossSea
44122	RossSea
44130	RossSea
44255	RossSea
09_0713	Peninsula
44074_5	RossSea
44113_3	RossSea
44113_4	RossSea
44118_3	RossSea
44256_1	RossSea
AD_01_6	EACasey
AND145	ElephantIs
AND271	ElephantIs
CT905	EAAdelie
CT909	EAAdelie
CT917	EAAdelie
CT933	EAAdelie
CT939	EAAdelie
JR179_141	Amundsen
JS_26	SouthWeddellSea
JS_40	SouthWeddellSea
JS_44	SouthWeddellSea
JS096	EAMawson
JS097	EAMawson
JS10	SouthWeddellSea
JS5	SouthWeddellSea
LS14	EastWeddellSea
LS149	SouthShetland
LS15	EastWeddellSea
LS152	SouthShetland
LS154	SouthShetland
LS161	SouthShetland
LS3	SouthShetland
NIWA87970	RossSea
Octo13	EastWeddellSea
Octo2	EastWeddellSea
PT108	ElephantIs
PT117AP	SouthShetland
PT119AP41	SouthShetland
PT151AP	SouthShetland
PT154	ElephantIs
PT156AP	SouthShetland
PT16WS	EastWeddellSea
PT192	ElephantIs
PT214SG	ShagRocks
PT24	SouthShetland
PT2414AP	SouthShetland
PT24SG	ShagRocks
PT25	SouthShetland
PT250	SouthOrkney
PT255	SouthOrkney
PT267AP	ElephantIs
PT272AP	ElephantIs
PT305SG	SouthGeorgia
PT328SG	SouthGeorgia
PT33	SouthShetland
PT354SG	SouthGeorgia
PT355SG	SouthGeorgia
PT356SG	SouthGeorgia
PT357SG	SouthGeorgia
PT36	SouthShetland
PT366SG	SouthGeorgia
PT367SG	SouthGeorgia
PT376SG	ShagRocks
PT377SG	ShagRocks
PT378WS	EastWeddellSea
PT381SG	ShagRocks
PT382SG	ShagRocks
PT386SG	ShagRocks
PT401SG	SouthGeorgia
PT415SG	SouthGeorgia
PT420SG	SouthGeorgia
PT421SG	SouthGeorgia
PT42SG	ShagRocks
PT432SG	SouthGeorgia
PT440SG	SouthGeorgia
PT445SG	SouthGeorgia
PT446SG	SouthGeorgia
PT449SG	SouthGeorgia
PT49WS	SouthShetland
PT508SG	SouthGeorgia
PT511SG	ShagRocks
PT60WS	EastWeddellSea
PT61WS	EastWeddellSea
PT73SG	SouthGeorgia
PT84AP	BransfieldStrait
WS112	EastWeddellSea
JR179_403	Amundsen
JR179_674	Amundsen
JR179_797	Amundsen
JS091	EAPrydz
JS099	EAPrydz
JS_18	SouthWeddellSea
JS_19	SouthWeddellSea
Octo3	EastWeddellSea
Octo4	EastWeddellSea
