,ID,lat,long,depth
1,44117,-75.633,169.85,525
2,44122,-73.1245,174.32,321
3,44130,-76.594,176.828,369
4,44255,-76.6023,176.802,360
5,09_0713,-67.752,-70.063,586.23
6,44074_5,-76.1931,176.296,447
7,44113_3,-76.1931,176.296,447
8,44113_4,-76.1931,176.296,447
9,44118_3,-76.1931,176.296,447
10,44256_1,-72.3537,175.499,850
11,AD_01_6,-65.22666667,118.525,913
12,AND145,-61.07,-54.61,189.6
13,AND271,-61.16,-54.56,343.2
14,CT905,-65.9994,139.68,196
15,CT909,-66.5618,141.262,177
16,CT917,-66.3351,141.273,207
17,CT933,-66.4039,139.794,896
18,CT939,-65.9994,139.68,196
19,JR179_141,-71.81,-106.33,577
20,JS_26,-77.724167,-35.980667,613
21,JS096,-66.933,65.917,185
22,JS097,-66.933,65.917,185
23,JS10,-72.30527778,-16.85638889,762
24,JS5,-72.59138889,-18.06666667,406
25,LS14,-71.18833333,-12.25666667,309
26,LS149,-61.975,-60.31166667,804
27,LS15,-71.18833333,-12.25666667,309
28,LS152,-61.975,-60.31166667,804
29,LS154,-61.975,-60.31166667,804
30,LS161,-61.975,-60.31166667,804
31,LS3,-71.29333333,-13.8,615
32,Oct-13,-71.57638889,-13.94888889,844
33,Oct-02,-70.80777778,-11.36555556,1342
34,PT108,-61.2,-55.9,107.57
35,PT117AP,-63.02,-61.145,352
36,PT119AP41,-63.02,-61.145,352
37,PT151AP,-61.975,-60.31166667,804
38,PT154,-61.2,-55.7,102.86
39,PT156AP,-61.975,-60.31166667,804
40,PT16WS,-71.18833333,-12.25666667,309
41,PT192,-61.2,-55.7,103.4
42,PT214SG,-53.74,-41.46,164
43,PT24,-62,-57.2,111
44,PT2414AP,-62.39,-61.4,363
45,PT24SG,-53.92,-41.56,314
46,PT25,-62,-57.2,111
47,PT250,-61,-45.9,240.07
48,PT255,-62,-57.2,111
49,PT267AP,-61.16,-54.56,343.2
50,PT272AP,-61.16,-54.56,343.2
51,PT305SG,-54.58,-35.44,150
52,PT328SG,-55.06,-36.07,149
53,PT33,-62,-57.2,111
54,PT354SG,-54.07,-35.67,205
55,PT355SG,-54.07,-35.67,205
56,PT356SG,-54.07,-35.67,205
57,PT357SG,-54.07,-35.67,205
58,PT36,-62,-57.2,111
59,PT366SG,-54.78,-34.92,349
60,PT367SG,-54.78,-34.92,349
61,PT376SG,-53.57,-41.63,120
62,PT377SG,-53.57,-41.63,120
63,PT378WS,-71.525,-12.425,504
64,PT381SG,-53.57,-41.63,120
65,PT382SG,-53.57,-41.63,120
66,PT386SG,-53.57,-41.63,120
67,PT401SG,-55.06,-35.38,124
68,PT415SG,-54.62,-35.53,113
69,PT420SG,-54.62,-35.53,113
70,PT421SG,-54.62,-35.53,113
71,PT42SG,-53.72,-41.28,130
72,PT432SG,-53.67,-38.07,154
73,PT440SG,-53.65,-37.22,168
74,PT445SG,-53.65,-37.22,168
75,PT446SG,-53.65,-37.22,168
76,PT449SG,-53.65,-37.22,168
77,PT49WS,-70.84,-10.58666667,237
78,PT508SG,-53.53,-42.22,158
79,PT511SG,-53.53,-42.22,158
80,PT60WS,-70.83666667,-10.57833333,274
81,PT61WS,-70.83666667,-10.57833333,274
82,PT73SG,-53.79,-39.29,401
83,PT84AP,-63.03833333,-59.17333333,666
84,WS112,-71.67483333,-12.695,254
85,JR179_403,-74.41,-104.65,502
86,JR179_674,-73.98,-107.41,536
87,JR179_797,-71.35,-110,476
88,JS091,-66.93,65.92,185
89,JS099,-66.93,65.92,185
90,JS_18,-74.59,-26.89,642
91,JS_19,-74.54,-37.38,366
92,Oct-03,-70.81,-11.37,1342
93,Oct-04,-70.81,-11.37,1342
