,ID,depth,lat,long
5,09_0713,586.23,-67.752,-70.063
12,AND145,189.6,-61.07,-54.61
13,AND271,343.2,-61.16,-54.56
26,LS149,804,-61.975,-60.31166667
28,LS152,804,-61.975,-60.31166667
29,LS154,804,-61.975,-60.31166667
30,LS161,804,-61.975,-60.31166667
34,PT108,107.57,-61.2,-55.9
35,PT117AP,352,-63.02,-61.145
36,PT119AP41,352,-63.02,-61.145
37,PT151AP,804,-61.975,-60.31166667
38,PT154,102.86,-61.2,-55.7
39,PT156AP,804,-61.975,-60.31166667
41,PT192,103.4,-61.2,-55.7
42,PT214SG,164,-53.74,-41.46
43,PT24,111,-62,-57.2
44,PT2414AP,363,-62.39,-61.4
45,PT24SG,314,-53.92,-41.56
46,PT25,111,-62,-57.2
47,PT250,240.07,-61,-45.9
48,PT255,111,-62,-57.2
49,PT267AP,343.2,-61.16,-54.56
50,PT272AP,343.2,-61.16,-54.56
51,PT305SG,150,-54.58,-35.44
52,PT328SG,149,-55.06,-36.07
53,PT33,111,-62,-57.2
54,PT354SG,205,-54.07,-35.67
55,PT355SG,205,-54.07,-35.67
56,PT356SG,205,-54.07,-35.67
57,PT357SG,205,-54.07,-35.67
58,PT36,111,-62,-57.2
59,PT366SG,349,-54.78,-34.92
60,PT367SG,349,-54.78,-34.92
61,PT376SG,120,-53.57,-41.63
62,PT377SG,120,-53.57,-41.63
64,PT381SG,120,-53.57,-41.63
65,PT382SG,120,-53.57,-41.63
66,PT386SG,120,-53.57,-41.63
67,PT401SG,124,-55.06,-35.38
68,PT415SG,113,-54.62,-35.53
69,PT420SG,113,-54.62,-35.53
70,PT421SG,113,-54.62,-35.53
71,PT42SG,130,-53.72,-41.28
72,PT432SG,154,-53.67,-38.07
73,PT440SG,168,-53.65,-37.22
74,PT445SG,168,-53.65,-37.22
75,PT446SG,168,-53.65,-37.22
76,PT449SG,168,-53.65,-37.22
78,PT508SG,158,-53.53,-42.22
79,PT511SG,158,-53.53,-42.22
82,PT73SG,401,-53.79,-39.29
83,PT84AP,666,-63.03833333,-59.17333333
